HolderAddress,Balance in DRC
0xc026f391892b5fe7255b83fd60a6c96d575bf50a,2929
0x163a82476ca5712741e67a156cdf32985b75da18,2924
0xf001f399f19b19fc4259bc8e9cc7b90751c88b52,2920
0xafcba98567864de4cf80c837fcc3af0d1a450c6c,2881
0x443b9328231d9ea5ec32acd3f065383939fea194,2864
0x13bf65ce5ec9da2cd28986a76bb2d8fa80e65028,2846
0xedcc45435cf607e15daa414ae99bed261a4758ee,2833
0x32bfdea7e03ae2b2fd9d593ae35533dbe839b59b,2771
0xf902dab65bb6ae34c1ce620c2ad683b391ba41c1,2753
0x0efb068354c10c070ddd64a0e8eaf8f054df7e26,2726
0xd6288ea8531e869b9c15da603a259e04804c1b14,2707
0x2e9cb183a5125986ec183924a8eb4a12c1aeeb86,2699
0xb97f60839572681a904935d5bbe9ed056f7f9552,2695
0xe5d98398d9b6b4e1cf4d8f8c11de63a1dab3c15b,2670
0xd518021be9434d7e476e6cb5d096dc59ec7201ce,2566
0xa984c7cdb382671198ef46c6abd6e15885d4f82f,2550
0x34ffc3ec4f0ed797581e1ed872dbb77ea7137c67,2545
0x1bf38a0c445dc2222f79990ae6c2fd06096efd54,2525
0xbdd7cfdecfec93274b51951c5703f3d11f04dca4,2509
0x9918ccc83f453965e634eb0788f94729775554c0,2501
0x5edd9da7b19fbd9bf66a8fb751727cc1b1c07dd0,2500
0x6630b7afc8303d3d9408941a0d204ee6e3d611a0,2500
0xaf0f0b5c4110df25ab46dd9f025084229a9f8352,2500
0x5e8e7a1e4b919c4548085bc8e6a3e8ac254f14a9,2499
0x9835d6be917cf72dbf9b4ea74a2908afcf3b3986,2463
0x9adfaada5db8cfe4990fb8fe4fe9f4975ef4114f,2446
0x5db33468b19da777518ae500d43ee3c3f8364ad1,2446
0x4e2ceff055d8672dfbe5bb4c4f35c10125cd3b09,2444
0x4ec10e7700665721f1175f9c2984f4ec5f691c18,2437
0x0b9872aef22f56225389683db5b9b2efe8b67061,2425
0xaefac7de344509cc05fb806898e18c8b8bd0024c,2341
0x3fa27ebfa8e454b018f1fd26e787aa9e90fdd8e1,2339
0xea704843b476a82fcffaece30022c6503fc6f35a,2319
0xb23ea59682ff8fc2e007c7c308c6ed3592b5bfe4,2318
0x10f920ffad95f53168af567ecd635a6dd03a8b43,2315
0xe6b4b5b18ea33fca29f243620eea7e7f23ca8f4d,2296
0x820f92c1b3ad8e962e6c6d9d7caf2a550aec46fb,2295
0xca22a2b834f3da078824a46d946d58672fbb9d7e,2262
0xb20aaf817ee1e83370e6bde02a0298ee751b9478,2245
0xc3899b00f71fc03cfe7a89b155c7ca2d9688e87e,2224
0xfb0e1fdb63ff2a7c209ec62640edfcc8e2003bd4,2192
0xb8cdbc378de19e7f4a45e2ec3a5e180b4cd5e114,2176
0x976ecf870f376e53e4476ea4c7e13e21036c1131,2174
0x351d49d49d7f41c786fc5283076bd7e178ed2367,2166
0xba12712d046f2a0526fd92557a57cd738d1fd96e,2140
0x7f3dbb958cb0c1046ebe6a0b215864850ee958f5,2131
0x41a56a4f5c1dbd31a117fd8095579b0c108d71e6,2127
0x8c54fb5f4bab68f1a212de1991b7b8a7f48aa0cc,2124
0xab98e6106d522665f44ac8a4666e65888861b90b,2107
0x98bc898f154e268c3ccb3d0c85fffad9781753ff,2088
0x8c1059473bb7867eb31cc7daab26476eacf5976f,2066
0xd6cedf5b69a0f240830e366edc10a7568f362efc,2062
0x599ed10fdea23e5c968ea1de7832011dbc7c9b22,2035
0x870fb37c1df057967d69eb7897c751db5df87826,2019
0xaaf34ade90110058817d37b74ef8106ddcffe48c,2019
0x6b0132048d88d61f8921d4ce2ddbf644de0e3918,2016
0xb4c54444fc878a37d83293e8fc47bcd95d3e1d7d,2016
0xef724091c7343d00d950853c4966ede92a700f45,2011
0x1a98adb21352c521f4da541bf963563ef6ba9fd2,2003
